NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput
7,Vector,7,3407670,486810,243405,131468120
7,Hashmap,7,1618456,231208,115604,61897160
8,Sequence,800000,96613196,120,60,264975.25
8,Vector,8,4993385,624173,312086,102535650
8,Hashmap,8,1689126,211140,105570,67779990
9,Sequence,900000,103448467,114,57,278401.28
9,Vector,9,5634373,626041,313020,102229650
9,Hashmap,9,2015296,223921,111960,63911244
10,Sequence,1000000,119629710,119,59,267493.66
10,Vector,10,7105081,710508,355254,90076376
10,Hashmap,10,2406711,240671,120335,59463390
1,Sequence,100000,11183141,111,55,286146.06
1,Vector,1,120804,120804,60402,529783070
1,Hashmap,1,99084,99084,49542,144432940
2,Sequence,200000,21964286,109,54,291383.25
2,Vector,2,353800,176900,88450,361785440
2,Hashmap,2,245738,122869,61434,116474330
3,Sequence,300000,30891820,102,51,310764.1
3,Vector,3,710075,236691,118345,270393760
3,Hashmap,3,440377,146792,73396,97492150
4,Sequence,400000,43566802,108,54,293801.72
4,Vector,4,1235657,308914,154457,207177200
4,Hashmap,4,629470,157367,78683,90940696
5,Sequence,500000,56661768,113,56,282378.7
5,Vector,5,1814584,362916,181458,176348930
5,Hashmap,5,926243,185248,92624,77253560
6,Sequence,600000,64798832,107,53,296301.78
6,Vector,6,2643689,440614,220307,145251570
6,Hashmap,6,1119178,186529,93264,76722960
7,Sequence,700000,82610170,118,59,271154.25
7,Vector,7,3589682,512811,256405,124802130
7,Hashmap,7,1297929,185418,92709,77182810
8,Sequence,800000,91459030,114,57,279908.7
8,Vector,8,4409633,551204,275602,116109430
8,Hashmap,8,1749885,218735,109367,65426556
9,Sequence,900000,111782197,124,62,257644.81
9,Vector,9,5430486,603387,301693,106067830
9,Hashmap,9,2068445,229827,114913,62269028
10,Sequence,1000000,112171278,112,56,285278.72
10,Vector,10,6896196,689619,344809,92804776
10,Hashmap,10,2388432,238843,119421,59918452
1,Sequence,100000,9625975,96,48,332436.44
1,Vector,1,121513,121513,60756,526689300
1,Hashmap,1,106601,106601,53300,134249380
2,Sequence,200000,23706001,118,59,269973.84
2,Vector,2,329105,164552,82276,388933280
2,Hashmap,2,236097,118048,59024,121230810
3,Sequence,300000,29266716,97,48,328020.1
3,Vector,3,701014,233671,116835,273888600
3,Hashmap,3,418130,139376,69688,102679330
4,Sequence,400000,44426573,111,55,288116.97
4,Vector,4,1220888,305222,152611,209683280
4,Hashmap,4,575786,143946,71973,99419656
5,Sequence,500000,54623498,109,54,292916.9
5,Vector,5,1927603,385520,192760,166009200
5,Hashmap,5,850136,170027,85013,84169590
6,Sequence,600000,78257050,130,65,245346.1
6,Vector,6,2895887,482647,241323,132601860
6,Hashmap,6,1147691,191281,95640,74816930
7,Sequence,700000,76276860,108,54,293669.6
7,Vector,7,3649193,521313,260656,122766830
7,Hashmap,7,1435486,205069,102534,69786696
8,Sequence,800000,97170729,121,60,263454.72
8,Vector,8,4579092,572386,286193,111812536
8,Hashmap,8,1733013,216626,108313,66063520
9,Sequence,900000,105888754,117,58,271983.94
9,Vector,9,6147496,683055,341527,93696670
9,Hashmap,9,2036511,226279,113139,63245430
10,Sequence,1000000,119223742,119,59,268404.6
10,Vector,10,7145942,714594,357297,89561310
10,Hashmap,10,2537175,253717,126858,56405724
1,Sequence,100000,10820750,108,54,295729.47
1,Vector,1,113532,113532,56766,563714700
1,Hashmap,1,91384,91384,45692,156603870
2,Sequence,200000,20417183,102,51,313464.25
2,Vector,2,355417,177708,88854,360139600
2,Hashmap,2,267168,133584,66792,107131864
3,Sequence,300000,33005692,110,55,290861.5
3,Vector,3,690321,230107,115053,278131100
3,Hashmap,3,449468,149822,74911,95520340
4,Sequence,400000,45607449,114,57,280657.44
4,Vector,4,1181099,295274,147637,216747140
4,Hashmap,4,572835,143208,71604,99931810
5,Sequence,500000,52979513,105,52,302003.6
5,Vector,5,1836406,367281,183640,174253390
5,Hashmap,5,901319,180263,90131,79389840
6,Sequence,600000,68574401,114,57,279989.5
6,Vector,6,2674175,445695,222847,143595660
6,Hashmap,6,1081043,180173,90086,79429440
7,Sequence,700000,81389180,116,58,275221.47
7,Vector,7,3734241,533463,266731,119970810
7,Hashmap,7,1385879,197982,98991,72284696
8,Sequence,800000,91305015,114,57,280379.56
8,Vector,8,4428517,553564,276782,115614330
8,Hashmap,8,1673032,209129,104564,68432020
9,Sequence,900000,110611161,122,61,260372.19
9,Vector,9,5552535,616948,308474,103736390
9,Hashmap,9,1967109,218567,109283,65476816
10,Sequence,1000000,122721278,122,61,260754.06
10,Vector,10,7210027,721002,360501,88765260
10,Hashmap,10,2415364,241536,120768,59250340
1,Sequence,100000,10019700,100,50,319370.84
1,Vector,1,128695,128695,64347,497296740
1,Hashmap,1,113969,113969,56984,125570110
2,Sequence,200000,21823551,109,54,293263.2
