NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput
7,Sequence,7000,1328983.8,189.854,94.927,168550.56
7,Vector,7,221106.1,31586.584,15793.292,1013088300
7,Hashmap,7,843100.94,120443,60221.5,118820690
8,Sequence,8000,1573731,196.716,98.358,162671.05
8,Vector,8,248749.53,31093.691,15546.846,1029147700
8,Hashmap,8,1124202.6,140525.31,70262.66,101840160
9,Sequence,9000,1777423,197.491,98.7455,162032.7
9,Vector,9,325339.2,36148.8,18074.4,885229900
9,Hashmap,9,1140330.8,126703.43,63351.715,112949740
10,Sequence,10000,2015593.3,201.559,100.7795,158762.45
10,Vector,10,375804.25,37580.426,18790.213,851507100
10,Hashmap,10,1445355.8,144535.6,72267.8,99014510
1,Sequence,1000,187187.63,187.18701,93.593506,170952.03
1,Vector,1,22213.633,22213.633,11106.816,1440556800
1,Hashmap,1,92858.31,92858.31,46429.156,154117810
2,Sequence,2000,341864.44,170.932,85.466,187208.94
2,Vector,2,41523.766,20761.883,10380.941,1541286000
2,Hashmap,2,253358.58,126679.29,63339.645,112971270
3,Sequence,3000,589627.8,196.54199,98.270996,162815.08
3,Vector,3,75982.42,25327.477,12663.738,1263450000
3,Hashmap,3,364696.94,121565.65,60782.824,117723390
4,Sequence,4000,747364.56,186.841,93.4205,171268.61
4,Vector,4,98871.54,24717.885,12358.942,1294609200
4,Hashmap,4,480392.38,120098.09,60049.047,119161930
5,Sequence,5000,945753.25,189.15,94.575,169177.9
5,Vector,5,124546.13,24909.229,12454.614,1284664400
5,Hashmap,5,502662.53,100532.51,50266.254,142353150
6,Sequence,6000,1174536.8,195.756,97.878,163468.81
6,Vector,6,171547.67,28591.275,14295.638,1119222500
6,Hashmap,6,617336.9,102889.48,51444.74,139092160
7,Sequence,7000,1382360.8,197.48,98.74,162041.73
7,Vector,7,207293.88,29613.412,14806.706,1080591400
7,Hashmap,7,862878.44,123268.35,61634.176,116097280
8,Sequence,8000,1652490.9,206.561,103.2805,154917.92
8,Vector,8,288688.4,36086.05,18043.025,886769300
8,Hashmap,8,912450.2,114056.27,57028.137,125474200
9,Sequence,9000,1790574.1,198.952,99.476,160842.81
9,Vector,9,298269.72,33141.082,16570.541,965569000
9,Hashmap,9,1260206.5,140022.95,70011.48,102205540
10,Sequence,10000,1947195.9,194.71901,97.359505,164339.38
10,Vector,10,361660.2,36166.016,18083.008,884808600
10,Hashmap,10,1147177.9,114717.79,57358.895,124750664
1,Sequence,1000,197731.73,197.731,98.8655,161836.03
1,Vector,1,23205.268,23205.268,11602.634,1378997200
1,Hashmap,1,86672.57,86672.57,43336.285,165117070
2,Sequence,2000,375780.75,187.89,93.945,170312.42
2,Vector,2,48811.16,24405.58,12202.79,1311175600
2,Hashmap,2,202459.69,101229.84,50614.92,141372530
3,Sequence,3000,590817.7,196.939,98.4695,162486.86
3,Vector,3,77109.59,25703.2,12851.6,1244981200
3,Hashmap,3,357070.66,119023.555,59511.777,120237710
4,Sequence,4000,755175.3,188.793,94.3965,169497.81
4,Vector,4,97533.8,24383.447,12191.724,1312365700
4,Hashmap,4,441424.9,110356.23,55178.113,129681130
5,Sequence,5000,980509.8,196.101,98.0505,163181.22
5,Vector,5,134982.08,26996.416,13498.208,1185342600
5,Hashmap,5,516613.25,103322.65,51661.324,138509040
6,Sequence,6000,1229208,204.867,102.4335,156198.9
6,Vector,6,175043.48,29173.912,14586.956,1096870400
6,Hashmap,6,572672.2,95445.37,47722.684,149940450
7,Sequence,7000,1335483.3,190.783,95.3915,167729.83
7,Vector,7,214990.27,30712.895,15356.447,1041907650
7,Hashmap,7,941579.5,134511.36,67255.68,106393384
8,Sequence,8000,1647899.6,205.987,102.9935,155349.61
8,Vector,8,267399.7,33424.96,16712.48,957368300
8,Hashmap,8,938548.1,117318.516,58659.258,121985176
9,Sequence,9000,1831565.6,203.507,101.7535,157242.75
9,Vector,9,296948.56,32994.285,16497.143,969864900
9,Hashmap,9,1228507.8,136500.86,68250.43,104842700
10,Sequence,10000,2085485.5,208.54799,104.273994,153441.89
10,Vector,10,377588.84,37758.883,18879.441,847482700
10,Hashmap,10,1263207.9,126320.8,63160.4,113291880
1,Sequence,1000,190509.03,190.509,95.2545,167971.06
1,Vector,1,21178.814,21178.814,10589.407,1510943900
1,Hashmap,1,86652.016,86652.016,43326.008,165156220
2,Sequence,2000,394680.03,197.34001,98.670006,162156.67
