NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,ThroughputWrong,Size,Throughput
2,Vector,20,519535.013,25976.75065,12988.37532,492748310.68989,1600000,492748310.68989
2,Hashmap,20,2146356.963,107317.84815,53658.92408,25179632.71331,168889,12589816.356655
3,Sequence,300000,35150772.745,117.16924,58.58462,273109.21639,4,273109.21639
3,Vector,30,1090468.534,36348.95113,18174.47557,352142210.46015,1600000,352142210.46015
3,Hashmap,30,3453359.621,115111.98737,57555.99368,23474740.22312,168889,11737370.11156
4,Sequence,400000,45871466.055,114.67867,57.33933,279040.56924,4,279040.56924
4,Vector,40,1904994.688,47624.8672,23812.4336,268767153.64363,1600000,268767153.64363
4,Hashmap,40,4105325.143,102633.12858,51316.56429,26328964.51193,168889,13164482.255965
5,Sequence,500000,55347958.436,110.69592,55.34796,289080.21998,4,289080.21998
5,Vector,50,2920839.868,58416.79736,29208.39868,219115058.99782,1600000,219115058.99782
5,Hashmap,50,5821003.887,116420.07774,58210.03887,23210979.17521,168889,11605489.587605
6,Sequence,600000,75588821.749,125.98137,62.99068,254005.81139,4,254005.81139
6,Vector,60,4560649.647,76010.82745,38005.41373,168397061.70045,1600000,168397061.70045
6,Hashmap,60,7813548.292,130225.80487,65112.90243,20750296.01673,168889,10375148.008365
7,Sequence,700000,79826777.899,114.03825,57.01913,280607.59296,4,280607.59296
7,Vector,70,5959368.89,85133.84129,42566.92064,150351491.33049,1600000,150351491.33049
7,Hashmap,70,10366563.539,148093.76484,74046.88242,18246710.13575,168889,9123355.067875
8,Sequence,800000,98526542.428,123.15818,61.57909,259828.46215,4,259828.46215
8,Vector,80,7779523.542,97244.04428,48622.02214,131627598.33191,1600000,131627598.33191
8,Hashmap,80,14476732.005,180959.15006,90479.57503,14932784.5487,168889,7466392.27435
9,Sequence,900000,105450075.728,117.16675,58.58338,273115.02435,4,273115.02435
9,Vector,90,10174740.508,113052.67231,56526.33616,113221560.69673,1600000,113221560.69673
9,Hashmap,90,15211233.926,169013.71029,84506.85514,15988194.06651,168889,7994097.033255
10,Sequence,1000000,116554762.196,116.55476,58.27738,274549.05657,4,274549.05657
10,Vector,100,11530793.2,115307.932,57653.966,111007107.47288,1600000,111007107.47288
10,Hashmap,100,19414797.878,194147.97878,97073.98939,13918373.07285,168889,6959186.536425
1,Sequence,100000,10677724.98,106.77725,53.38862,299689.30704,4,299689.30704
1,Vector,10,142275.423,14227.5423,7113.77115,899663464.7152,1600000,899663464.7152
1,Hashmap,10,801972.457,80197.2457,40098.62285,33694723.25906,168889,16847361.62953
2,Sequence,200000,20590010.9,102.95005,51.47503,310830.33569,4,310830.33569
2,Vector,20,507075.807,25353.79035,12676.89518,504855480.11956,1600000,504855480.11956
2,Hashmap,20,2048000.558,102400.0279,51200.01395,26388899.06006,168889,13194449.53003
3,Sequence,300000,31778029.306,105.92676,52.96338,302095.51094,4,302095.51094
3,Vector,30,1102102.519,36736.75063,18368.37532,348424936.31938,1600000,348424936.31938
3,Hashmap,30,2825053.265,94168.44217,47084.22108,28695643.01826,168889,14347821.50913
4,Sequence,400000,41469420.223,103.67355,51.83678,308661.17566,4,308661.17566
4,Vector,40,1965477.826,49136.94565,24568.47282,260496451.91978,1600000,260496451.91978
4,Hashmap,40,3913191.183,97829.77958,48914.88979,27621691.59267,168889,13810845.796335
5,Sequence,500000,53072643.384,106.14529,53.07264,301473.58375,4,301473.58375
5,Vector,50,2923880.845,58477.6169,29238.80845,218887168.77585,1600000,218887168.77585
5,Hashmap,50,5674429.088,113488.58176,56744.29088,23810536.33849,168889,11905268.169245
6,Sequence,600000,70295619.061,117.15937,58.57968,273132.24147,4,273132.24147
6,Vector,60,4184801.251,69746.68752,34873.34376,183521260.37443,1600000,183521260.37443
6,Hashmap,60,8749493.252,145824.88753,72912.44377,18530609.18276,168889,9265304.59138
7,Sequence,700000,77973178.11,111.39025,55.69513,287278.27367,4,287278.27367
7,Vector,70,5815352.941,83076.47059,41538.23529,154074913.26673,1600000,154074913.26673
7,Hashmap,70,10248633.512,146409.05017,73204.52509,18456673.25098,168889,9228336.62549
8,Sequence,800000,97735800.462,122.16975,61.08488,261930.63216,4,261930.63216
8,Vector,80,8077263.547,100965.79434,50482.89717,126775608.35319,1600000,126775608.35319
8,Hashmap,80,13882081.049,173526.01311,86763.00656,15572443.29845,168889,7786221.649225
9,Sequence,900000,109194011.308,121.32668,60.66334,263750.72822,4,263750.72822
9,Vector,90,9752232.784,108358.14204,54179.07102,118126794.70593,1600000,118126794.70593
9,Hashmap,90,15879079.966,176434.22184,88217.11092,15315758.88028,168889,7657879.44014
10,Sequence,1000000,128819340.392,128.81934,64.40967,248409.90415,4,248409.90415
10,Vector,100,12313549.131,123135.49131,61567.74566,103950533.38258,1600000,103950533.38258
10,Hashmap,100,19625041.158,196250.41158,98125.20579,13769265.3903,168889,6884632.69515
1,Sequence,100000,10993101.335,109.93101,54.96551,291091.64943,4,291091.64943
1,Vector,10,142851.423,14285.1423,7142.57115,896035876.38045,1600000,896035876.38045
1,Hashmap,10,1219859.277,121985.9277,60992.96385,22151932.20193,168889,11075966.100965
2,Sequence,200000,21630757.818,108.15379,54.07689,295874.9783,4,295874.9783
2,Vector,20,541850.654,27092.5327,13546.26635,472454906.36614,1600000,472454906.36614
2,Hashmap,20,1769321.088,88466.0544,44233.0272,30545320.66935,168889,15272660.334675
3,Sequence,300000,32540104.075,108.46701,54.23351,295020.5684,4,295020.5684
3,Vector,30,1073501.453,35783.38177,17891.69088,357707946.20434,1600000,357707946.20434
3,Hashmap,30,2907050.658,96901.6886,48450.8443,27886242.63458,168889,13943121.31729
4,Sequence,400000,45342186.196,113.35547,56.67773,282297.81301,4,282297.81301
4,Vector,40,1914243.294,47856.08235,23928.04118,267468613.63172,1600000,267468613.63172
4,Hashmap,40,4383432.206,109585.80515,54792.90258,24658522.117,168889,12329261.0585
5,Sequence,500000,63629824.241,127.25965,63.62982,251454.41137,4,251454.41137
5,Vector,50,3119254.044,62385.08088,31192.54044,205177260.6438,1600000,205177260.6438
5,Hashmap,50,5977267.569,119545.35138,59772.67569,22604174.64005,168889,11302087.320025
6,Sequence,600000,70393083.593,117.32181,58.6609,272754.06929,4,272754.06929
6,Vector,60,4492491.142,74874.85237,37437.42618,170951923.04778,1600000,170951923.04778
6,Hashmap,60,7774332.52,129572.20867,64786.10433,20854965.95147,168889,10427482.975735
7,Sequence,700000,79475270.036,113.5361,56.76805,281848.6806,4,281848.6806
7,Vector,70,5884430.738,84063.29626,42031.64813,152266215.69592,1600000,152266215.69592
7,Hashmap,70,10224767.054,146068.10077,73034.05039,18499754.46883,168889,9249877.234415
8,Sequence,800000,93809437.543,117.2618,58.6309,272893.65197,4,272893.65197
8,Vector,80,7445892.075,93073.65094,46536.82547,137525495.89567,1600000,137525495.89567
8,Hashmap,80,12526837.105,156585.46381,78292.73191,17257182.97348,168889,8628591.48674
9,Sequence,900000,105216502.467,116.90722,58.45361,273721.32056,4,273721.32056
9,Vector,90,9211478.093,102349.75659,51174.87829,125061362.39692,1600000,125061362.39692
9,Hashmap,90,15188678.13,168763.09033,84381.54517,16011937.17573,168889,8005968.587865
10,Sequence,1000000,115360255.894,115.36026,57.68013,277391.89509,4,277391.89509
10,Vector,100,12864644.93,128646.4493,64323.22465,99497499.30642,1600000,99497499.30642
10,Hashmap,100,19644098.557,196440.98557,98220.49279,13755907.36403,168889,6877953.682015
1,Sequence,100000,10138672.238,101.38672,50.69336,315623.18269,4,315623.18269
1,Vector,10,141611.72,14161.172,7080.586,903879989.59408,1600000,903879989.59408
1,Hashmap,10,820300.148,82030.0148,41015.0074,32941893.3617,168889,16470946.68085
2,Sequence,200000,21346230.862,106.73115,53.36558,299818.73809,4,299818.73809
2,Vector,20,552600.36,27630.018,13815.009,463264265.69827,1600000,463264265.69827
2,Hashmap,20,1877617.75,93880.8875,46940.44375,28783537.01119,168889,14391768.505595
3,Sequence,300000,33512901.206,111.70967,55.85484,286456.8466,4,286456.8466
3,Vector,30,1191904.122,39730.1374,19865.0687,322173564.89686,1600000,322173564.89686
3,Hashmap,30,2887666.8,96255.56,48127.78,28073432.84897,168889,14036716.424485
4,Sequence,400000,46454985.936,116.13746,58.06873,275535.54784,4,275535.54784
4,Vector,40,2042102.305,51052.55763,25526.27881,250722012.67605,1600000,250722012.67605
4,Hashmap,40,4096611.15,102415.27875,51207.63938,26384969.43992,168889,13192484.71996
5,Sequence,500000,57702363.774,115.40473,57.70236,277285.00106,4,277285.00106
5,Vector,50,2991885.053,59837.70106,29918.85053,213911961.40984,1600000,213911961.40984
5,Hashmap,50,5730109.665,114602.1933,57301.09665,23579164.78026,168889,11789582.39013
6,Sequence,600000,71350461.57,118.91744,59.45872,269094.26481,4,269094.26481
6,Vector,60,4268270.24,71137.83733,35568.91867,179932374.66614,1600000,179932374.66614
6,Hashmap,60,8118461.492,135307.69153,67653.84577,19970956.33942,168889,9985478.16971
7,Sequence,700000,82219018.078,117.45574,58.72787,272443.04935,4,272443.04935
7,Vector,70,5888592.3,84122.74714,42061.37357,152158606.73526,1600000,152158606.73526
7,Hashmap,70,12069364.595,172419.49421,86209.74711,15672380.97011,168889,7836190.485055
8,Sequence,800000,91463807.29,114.32976,57.16488,279892.13175,4,279892.13175
8,Vector,80,7730121.824,96626.5228,48313.2614,132468804.93148,1600000,132468804.93148
