NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
5,Hashmap,50,11726920,234538.42,117269.21,6101823.5,178889
6,Sequence,6000,1967037.5,327.839,163.9195,97608.89,4
6,Vector,60,4657725,77628.76,38814.38,164887360,1600000
6,Hashmap,60,13518795,225313.25,112656.625,6351655,178889
7,Sequence,7000,2329106.8,332.729,166.3645,96174.37,4
7,Vector,70,6196094.5,88515.64,44257.82,144607220,1600000
7,Hashmap,70,16206902,231527.16,115763.58,6181184.5,178889
8,Sequence,8000,2598852.8,324.856,162.428,98505.19,4
8,Vector,80,8154821.5,101935.27,50967.637,125569880,1600000
8,Hashmap,80,20399650,254995.64,127497.82,5612300,178889
9,Sequence,9000,3017643.5,335.293,167.6465,95438.914,4
9,Vector,90,10232169,113690.77,56845.387,112586100,1600000
9,Hashmap,90,22965186,255168.7,127584.35,5608493.5,178889
10,Sequence,10000,3403627,340.362,170.181,94017.55,4
10,Vector,100,12179215,121792.16,60896.08,105097080,1600000
10,Hashmap,100,30388774,303887.75,151943.88,4709344,178889
1,Sequence,1000,300898.66,300.898,150.449,106348.33,4
1,Vector,10,189191.81,18919.18,9459.59,676562100,1600000
1,Hashmap,10,1262150.6,126215.07,63107.535,11338678,178889
2,Sequence,2000,626153.44,313.076,156.538,102211.61,4
2,Vector,20,583935.5,29196.777,14598.389,438404580,1600000
2,Hashmap,20,3136227.5,156811.39,78405.695,9126327,178889
3,Sequence,3000,984445.1,328.14798,164.07399,97516.98,4
3,Vector,30,1190964.6,39698.82,19849.41,322427700,1600000
3,Hashmap,30,5055558,168518.61,84259.305,8492309,178889
4,Sequence,4000,1272287.5,318.07098,159.03549,100606.47,4
4,Vector,40,2107279,52681.977,26340.988,242967360,1600000
4,Hashmap,40,6932325.5,173308.14,86654.07,8257616,178889
5,Sequence,5000,1608274.1,321.654,160.827,99485.79,4
5,Vector,50,3307609,66152.19,33076.094,193493230,1600000
5,Hashmap,50,10797824,215956.48,107978.24,6626853.5,178889
6,Sequence,6000,1939505.1,323.25,161.625,98994.59,4
6,Vector,60,4703012,78383.53,39191.766,163299600,1600000
6,Hashmap,60,13340730,222345.5,111172.75,6436433.5,178889
7,Sequence,7000,2321785.8,331.68298,165.84149,96477.664,4
7,Vector,70,5965156.5,85216.52,42608.26,150205620,1600000
7,Hashmap,70,15922813,227468.78,113734.39,6291466,178889
8,Sequence,8000,2648500.8,331.062,165.531,96658.63,4
8,Vector,80,8046746.5,100584.33,50292.164,127256410,1600000
8,Hashmap,80,18704398,233804.95,116902.48,6120965,178889
9,Sequence,9000,3001740.5,333.526,166.763,95944.55,4
9,Vector,90,10199112,113323.47,56661.734,112951010,1600000
9,Hashmap,90,25829872,286998.6,143499.3,4986477.5,178889
10,Sequence,10000,3338039.8,333.803,166.9015,95864.92,4
10,Vector,100,12260211,122602.11,61301.055,104402770,1600000
10,Hashmap,100,29725078,297250.78,148625.39,4814493.5,178889
1,Sequence,1000,296507.1,296.507,148.2535,107923.25,4
1,Vector,10,176497.44,17649.744,8824.872,725223000,1600000
